benchmark_id,label,evidence
track_a_v1.0:ICD9CM_TO_ICD10CM:01516,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:01526,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:01565,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:01786,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:0394,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:0401,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:0740,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:0782,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:0784,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:0821,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:0822,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:0889,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:09483,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:1203,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:1216,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:20236,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:20238,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:20243,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:20248,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:20254,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:20256,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:2581,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:2660,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:2732,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:29012,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:29013,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:29555,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:2984,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:3029,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:30550,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:3064,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:3100,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:32362,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:3350,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:3358,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:36130,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:36271,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:36277,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:36474,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:36611,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:36916,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:36922,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:36962,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:37641,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:37644,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:38103,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:41071,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:4847,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:5171,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:52406,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:52476,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:5375,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:5644,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:60785,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:60884,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:63691,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:63791,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:64210,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:64214,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:64682,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:64892,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:64933,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:65141,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:65601,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:67440,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:67581,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:67591,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:67592,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:67641,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:67643,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:67900,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:7051,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:7105,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71148,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71177,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71228,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71591,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71692,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71783,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71839,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71873,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71908,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71963,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71965,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:71994,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:7234,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:7294,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:72991,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:73024,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:73027,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:73032,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:73033,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:73036,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:75539,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:75553,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:75682,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:76405,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:76418,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:76492,unclear,retrieval failure only; no unsupported medical judgment
track_a_v1.0:ICD9CM_TO_ICD10CM:76509,unclear,retrieval failure only; no unsupported medical judgment
