model,k,direction,split_protocol,partition,benchmark_version,experiment_version,sample_population,n_total,both_succeed,bm25_only,dense_only,both_fail,slice
SapBERT,10,ICD9CM_to_ICD10CM,source_stratified,stratified_test,1.0,1.1,forward_stratified_test,2913,2031,75,421,386,
SapBERT,100,ICD9CM_to_ICD10CM,source_stratified,stratified_test,1.0,1.1,forward_stratified_test,2913,2355,49,345,164,
SapBERT,10,,,,,,forward_stratified_test,469,469,0,0,0,LEXICAL_EXACT
SapBERT,100,,,,,,forward_stratified_test,469,469,0,0,0,LEXICAL_EXACT
SapBERT,10,,,,,,forward_stratified_test,527,519,2,5,1,LEXICAL_HIGH
SapBERT,100,,,,,,forward_stratified_test,527,524,0,3,0,LEXICAL_HIGH
SapBERT,10,,,,,,forward_stratified_test,898,716,31,119,32,LEXICAL_MEDIUM
SapBERT,100,,,,,,forward_stratified_test,898,805,9,83,1,LEXICAL_MEDIUM
SapBERT,10,,,,,,forward_stratified_test,1019,327,42,297,353,LEXICAL_LOW
SapBERT,100,,,,,,forward_stratified_test,1019,557,40,259,163,LEXICAL_LOW
SapBERT,10,,,,,,forward_stratified_test,704,667,0,35,2,SINGLE_EXACT
SapBERT,100,,,,,,forward_stratified_test,704,686,0,17,1,SINGLE_EXACT
SapBERT,10,,,,,,forward_stratified_test,1449,946,64,199,240,SINGLE_APPROXIMATE
SapBERT,100,,,,,,forward_stratified_test,1449,1173,44,163,69,SINGLE_APPROXIMATE
SapBERT,10,,,,,,forward_stratified_test,542,418,11,81,32,ALTERNATIVE
SapBERT,100,,,,,,forward_stratified_test,542,496,5,35,6,ALTERNATIVE
BioLORD-2023,10,ICD9CM_to_ICD10CM,source_stratified,stratified_test,1.0,1.1,forward_stratified_test,2913,2065,41,535,272,
BioLORD-2023,100,ICD9CM_to_ICD10CM,source_stratified,stratified_test,1.0,1.1,forward_stratified_test,2913,2398,6,387,122,
BioLORD-2023,10,,,,,,forward_stratified_test,469,469,0,0,0,LEXICAL_EXACT
BioLORD-2023,100,,,,,,forward_stratified_test,469,469,0,0,0,LEXICAL_EXACT
BioLORD-2023,10,,,,,,forward_stratified_test,527,519,2,6,0,LEXICAL_HIGH
BioLORD-2023,100,,,,,,forward_stratified_test,527,524,0,3,0,LEXICAL_HIGH
BioLORD-2023,10,,,,,,forward_stratified_test,898,737,10,130,21,LEXICAL_MEDIUM
BioLORD-2023,100,,,,,,forward_stratified_test,898,814,0,84,0,LEXICAL_MEDIUM
BioLORD-2023,10,,,,,,forward_stratified_test,1019,340,29,399,251,LEXICAL_LOW
BioLORD-2023,100,,,,,,forward_stratified_test,1019,591,6,300,122,LEXICAL_LOW
BioLORD-2023,10,,,,,,forward_stratified_test,704,664,3,31,6,SINGLE_EXACT
BioLORD-2023,100,,,,,,forward_stratified_test,704,686,0,16,2,SINGLE_EXACT
BioLORD-2023,10,,,,,,forward_stratified_test,1449,979,31,295,144,SINGLE_APPROXIMATE
BioLORD-2023,100,,,,,,forward_stratified_test,1449,1212,5,200,32,SINGLE_APPROXIMATE
BioLORD-2023,10,,,,,,forward_stratified_test,542,422,7,92,21,ALTERNATIVE
BioLORD-2023,100,,,,,,forward_stratified_test,542,500,1,38,3,ALTERNATIVE
MedCPT,10,ICD9CM_to_ICD10CM,source_stratified,stratified_test,1.0,1.1,forward_stratified_test,2913,1976,130,421,386,
MedCPT,100,ICD9CM_to_ICD10CM,source_stratified,stratified_test,1.0,1.1,forward_stratified_test,2913,2357,47,334,175,
MedCPT,10,,,,,,forward_stratified_test,469,469,0,0,0,LEXICAL_EXACT
MedCPT,100,,,,,,forward_stratified_test,469,469,0,0,0,LEXICAL_EXACT
MedCPT,10,,,,,,forward_stratified_test,527,518,3,6,0,LEXICAL_HIGH
MedCPT,100,,,,,,forward_stratified_test,527,524,0,3,0,LEXICAL_HIGH
MedCPT,10,,,,,,forward_stratified_test,898,695,52,129,22,LEXICAL_MEDIUM
MedCPT,100,,,,,,forward_stratified_test,898,802,12,83,1,LEXICAL_MEDIUM
MedCPT,10,,,,,,forward_stratified_test,1019,294,75,286,364,LEXICAL_LOW
MedCPT,100,,,,,,forward_stratified_test,1019,562,35,248,174,LEXICAL_LOW
MedCPT,10,,,,,,forward_stratified_test,704,664,3,30,7,SINGLE_EXACT
MedCPT,100,,,,,,forward_stratified_test,704,685,1,16,2,SINGLE_EXACT
MedCPT,10,,,,,,forward_stratified_test,1449,921,89,210,229,SINGLE_APPROXIMATE
MedCPT,100,,,,,,forward_stratified_test,1449,1189,28,163,69,SINGLE_APPROXIMATE
MedCPT,10,,,,,,forward_stratified_test,542,391,38,60,53,ALTERNATIVE
MedCPT,100,,,,,,forward_stratified_test,542,483,18,26,15,ALTERNATIVE
Qwen3-Embedding-0.6B,10,ICD9CM_to_ICD10CM,source_stratified,stratified_test,1.0,1.1,forward_stratified_test,2913,2052,54,493,314,
Qwen3-Embedding-0.6B,100,ICD9CM_to_ICD10CM,source_stratified,stratified_test,1.0,1.1,forward_stratified_test,2913,2394,10,368,141,
Qwen3-Embedding-0.6B,10,,,,,,forward_stratified_test,469,468,1,0,0,LEXICAL_EXACT
Qwen3-Embedding-0.6B,100,,,,,,forward_stratified_test,469,469,0,0,0,LEXICAL_EXACT
Qwen3-Embedding-0.6B,10,,,,,,forward_stratified_test,527,518,3,5,1,LEXICAL_HIGH
Qwen3-Embedding-0.6B,100,,,,,,forward_stratified_test,527,524,0,3,0,LEXICAL_HIGH
Qwen3-Embedding-0.6B,10,,,,,,forward_stratified_test,898,733,14,132,19,LEXICAL_MEDIUM
Qwen3-Embedding-0.6B,100,,,,,,forward_stratified_test,898,814,0,83,1,LEXICAL_MEDIUM
Qwen3-Embedding-0.6B,10,,,,,,forward_stratified_test,1019,333,36,356,294,LEXICAL_LOW
Qwen3-Embedding-0.6B,100,,,,,,forward_stratified_test,1019,587,10,282,140,LEXICAL_LOW
Qwen3-Embedding-0.6B,10,,,,,,forward_stratified_test,704,664,3,33,4,SINGLE_EXACT
Qwen3-Embedding-0.6B,100,,,,,,forward_stratified_test,704,685,1,17,1,SINGLE_EXACT
Qwen3-Embedding-0.6B,10,,,,,,forward_stratified_test,1449,965,45,254,185,SINGLE_APPROXIMATE
Qwen3-Embedding-0.6B,100,,,,,,forward_stratified_test,1449,1208,9,181,51,SINGLE_APPROXIMATE
